NameFirst,NameLast,CurrentHandle,CountryCode,WorldRanking,CountryRanking,TotalUSDPrize,TotalTournaments
Jin,Kang,121,cn,75817,4438,26.75,1
Liangzhi,Hu,KaKa,cn,41,11,1788754.84,90
Ziyang,Xu,Lin,cn,827,125,182047.86,21
-,-,Fyrbo,dk,41871,811,425.63,5
Przemysław,-,Fuks,pl,58502,1173,130.78,1
Josh,Marzano,jdm64,us,797,164,187473.44,69
James,Cobb,hazed,us,1233,243,120939.92,103
Mattias,Andersson,skiMMer,se,58420,1837,131.88,1
-,-,libbe,se,58421,1838,131.88,1
-,-,SpazZe,se,58422,1839,131.88,1
-,-,bizze,se,58423,1840,131.88,1
Hugo,Sjöquist,Azrael,se,58424,1841,131.88,1
-,-,BootS,se,58425,1842,131.88,1
Alexander,Olsson Sarr,Tiny,se,24674,801,1633.26,4
Jamal,Bayade,JAM1B,ca,31625,917,944.82,4
Pier-Luc,Larochelle,ViNX,ca,35480,1013,694.82,3
Kevin,Tay,endless,ca,62924,1921,97.41,1
Jerome,Blakeslee,Jerbear,us,53573,10530,197.41,2
Nick,Nowakowski,nickn0it,us,13197,2649,5742.41,14
Martin,Maindl,CRbox,ca,43351,1259,389.64,1
Dominic,Gilbert-Julien,Doomtrobo,ca,24245,743,1701.42,4
Tristan,Côté-Lalumière,Cake,ca,18187,569,3114.34,6
-,-,Too much rage,ca,36475,1041,633.17,1
Phil,Alex,Xxesw,ca,34755,993,733.17,2
-,-,Kuhbe,ca,34756,994,733.17,2
-,-,Juhbe,ca,36476,1042,633.17,1
-,-,OmgIGotGanked,ca,53695,1597,194.82,1
-,-,JiYung,ca,53696,1598,194.82,1
-,-,Rat,ca,53697,1599,194.82,1
-,-,Trayme,ca,53698,1600,194.82,1
-,-,zDc,ca,53699,1601,194.82,1
-,-,oxz,lt,33119,85,815.38,10
Saulius,Lukošius,Saulius,lt,11430,29,7471.55,17
Lukas,Lenikas,Warden,lt,14021,37,5087.49,21
Giotis,Papadopoulos,SicPap,gr,32984,83,828.33,8
Jovan,Jovanović,Demented Clown,rs,28469,74,1189.82,5
-,-,NinjaBlast,al,51643,18,216.77,2
Αιμίλιος,Μπρέσιακας,YellowFlash,gr,51644,159,216.77,2
-,-,Woio,se,58023,1813,137.06,1
Gvidas,Kazimieraitis,Gvidas,lt,54117,140,187.00,2
Kevin,Lundstrom,Snipifyy,fi,54118,877,187.00,2
Maxime,Soufflet,Elfen,fr,38907,1670,520.95,4
-,-,Divider,lt,47477,116,288.09,3
Erik,Engel,tOfu,de,30042,1338,1014.37,7
Aleksey,Tyunin,Symphony,ru,8540,325,11813.95,9
Oleg,Kohanyuk,Mess,ru,32593,1229,859.35,3
Bryant,Lehwald,whiteBeard,us,4661,943,27393.39,16
